Serial Number,PMID,Journal/Book,Publication year,Title,DOI,Citation,Authors,Keywords flagged,Self-reported study aim,Study category,Study location,,,Study population,Pathogen,Programming language,Population size,Age,Sex,Race/ethnicity,Income,Vaccination,Screening and/or testing,Masking,Contact tracing,School closure,Social distancing
20,37690100,Bull Math Biol,2023,Circulation of Respiratory Viruses in the City: Towards an Agent-Based Ecosystem model,10.1007/s11538-023-01203-x,"Vlad AI, Romanyukha AA, Sannikova TE. Circulation of Respiratory Viruses in the City: Towards an Agent-Based Ecosystem model. Bull Math Biol. 2023;85(10):100. doi:10.1007/s11538-023-01203-x","Vlad AI, Romanyukha AA, Sannikova TE.",agent-based model,Develop ABM to predict acute respiratory infections,Understanding Epidemic Spread,Moscow (Russia),,Russia,General,"Other corona viruses, Influenza Virus, Other",Julia,1.00E+07,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
21,32758501,Math Biosci,2020,Simulating COVID-19 in a university environment,10.1016/j.mbs.2020.108436,"Gressman PT, Peck JR. Simulating COVID-19 in a university environment. Mathematical Biosciences. 2020;328:108436. doi:10.1016/j.mbs.2020.108436","Gressman PT, Peck JR.","simulating, pandemic, stochastic",To determine safe continuation of in-person teaching and necessary interventions,Intervention Impact Assessment,Theoretical,,Theoretical,University/School,SARS-CoV-2,Other/Unknown,22500,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
22,33711969,BMC Public Health,2021,Using a hybrid agent-based and equation based model to test school closure policies during a measles outbreak,10.1186/s12889-021-10513-5,"Hunter E, Kelleher JD. Using a hybrid agent-based and equation based model to test school closure policies during a measles outbreak. BMC Public Health. 2021;21(1):499. doi:10.1186/s12889-021-10513-5","Hunter E, Kelleher JD.","disease, simulation, agent-based",To test effect of interventions on spread of measles in school,Intervention Impact Assessment,Leitrim (Ireland),,Ireland,University/School,Vaccine preventable respiratory viruses,Other/Unknown,4000,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
23,36187701,Front Public Health,2022,Assessing COVID-19 vaccination strategies in varied demographics using an individual-based model,10.3389/fpubh.2022.966756,"Ben-Zuk N, Daon Y, Sasson A, et al. Assessing COVID-19 vaccination strategies in varied demographics using an individual-based model. Front Public Health. 2022;10:966756. doi:10.3389/fpubh.2022.966756","Ben-Zuk N, Daon Y, Sasson A, Ben-Adi D, Huppert A, Nevo D, Obolski U.","individual-based, disease",Investigating vaccination strategies in similarly populated cities,Intervention Impact Assessment,"Bnei Brak, Holon (Israel)",,Israel,General,SARS-CoV-2,Python,194000,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
24,32365775,Int J Environ Res Public Health,2020,A Model for the Spread of Infectious Diseases in a Region,10.3390/ijerph17093119,"Hunter E, Mac Namee B, Kelleher JD. A Model for the Spread of Infectious Diseases in a Region. IJERPH. 2020;17(9):3119. doi:10.3390/ijerph17093119","Hunter E, Namee BM, Kelleher JD.","disease, model",Taking model of a single town and simulate it for a region containing multiple towns,Understanding Epidemic Spread,Leitrim (Ireland),,Ireland,General,Vaccine preventable respiratory viruses,Other/Unknown,32000,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
25,32730811,Math Biosci,2020,When is SARS-CoV-2 in your shopping list?,10.1016/j.mbs.2020.108434,"Hernandez-Mejia G, Hernandez-Vargas EA. When is SARS-CoV-2 in your shopping list? Mathematical Biosciences. 2020;328:108434. doi:10.1016/j.mbs.2020.108434","Hernandez-Mejia G, Hernandez-Vargas EA.","model, disease",To create social distancing policies to reduce spread,Intervention Impact Assessment,Theoretical,,Theoretical,Workplace,SARS-CoV-2,Other/Unknown,50,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
26,35784212,Front Public Health,2022,"A Chess and Card Room-Induced COVID-19 Outbreak and Its Agent-Based Simulation in Yangzhou, China",10.3389/fpubh.2022.915716,"Shen S, Li W, Wei H, et al. A Chess and Card Room-Induced COVID-19 Outbreak and Its Agent-Based Simulation in Yangzhou, China. Front Public Health. 2022;10:915716. doi:10.3389/fpubh.2022.915716","Shen S, Li W, Wei H, Zhao L, Ye R, Ma K, Xiao P, Jia N, Zhou J, Cui X, Gong J, Cao W.","agent-based model, simulation, infected",Evaluate epidemiological characteristics of the COVID-19 outbreak that resurged in Yangzhou,Understanding Epidemic Spread,Yangzhou (China),,China,General,SARS-CoV-2,Other/Unknown,4560000,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
27,38431581,BMC Public Health,2024,Modeling COVID-19 spread using multi-agent simulation with small-world network approach,10.1186/s12889-024-18157-x,"Fan Q, Li Q, Chen Y, Tang J. Modeling COVID-19 spread using multi-agent simulation with small-world network approach. BMC Public Health. 2024;24(1):672. doi:10.1186/s12889-024-18157-x","Fan Q, Li Q, Chen Y, Tang J.","epidemic, multi-agent simulation, modeling",Analysis of transmission for allocation of epidemic prevention and control resources,"Understanding Epidemic Spread, Intervention Impact Assessment",Wuhan (China),,China,General,SARS-CoV-2,NetLogo,12300000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
28,33661888,PLoS Comput Biol,2021,"Testing, tracing and isolation in compartmental models",10.1371/journal.pcbi.1008633,"Sturniolo S, Waites W, Colbourn T, Manheim D, Panovska-Griffiths J. Testing, tracing and isolation in compartmental models. Regoes RR, ed. PLoS Comput Biol. 2021;17(3):e1008633. doi:10.1371/journal.pcbi.1008633","Sturniolo S, Waites W, Colbourn T, Manheim D, Panovska-Griffiths J.",individual based model,Comparison of SEIR with ABM,Theoretical Advancements,UK,,UK,General,SARS-CoV-2,Python,6.70E+07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,33737558,Sci Rep,2021,Epidemiological analysis of asymptomatic SARS-CoV-2 transmission in the community: an individual-based model,10.1038/s41598-021-84893-4,"Guo Z, Xiao D. Epidemiological analysis of asymptomatic SARS-CoV-2 transmission in the community: an individual-based model. Sci Rep. 2021;11(1):6251. doi:10.1038/s41598-021-84893-4","Guo Z, Xiao D.","epidemiological, transmission, individual-based, model, simulate, infection","To simulate the occurrence, infection, discovery, quarantine, and quarantine release (recovery) of asymptomatic SARS-CoV-2 infected individuals or patients within the community","Understanding Epidemic Spread, Intervention Impact Assessment",Theoretical,,Theoretical,General,SARS-CoV-2,MATLAB,10300,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
